Algieria 	Algier
Angola 	Luanda
Benin 	Porto-Novo
Botswana 	Gaborone
Burkina Faso 	Wagadugu
Burundi 	Bużumbura
Czad 	Ndżamena
Demokratyczna Republika Konga 	Kinszasa
Dżibuti 	Dżibuti
Egipt 	Kair
Erytrea 	Asmara
Etiopia 	Addis Abeba
Gabon 	Libreville
Gambia 	Bandżul
Ghana 	Akra
Gwinea 	Konakry
Gwinea Bissau 	Bissau
Gwinea Równikowa 	Malabo
Kamerun 	Jaunde
Kenia 	Nairobi
Komory 	Moroni
Kongo 	Brazzaville
Lesotho 	Maseru
Liberia 	Monrovia
Libia 	Trypolis
Madagaskar 	Antananarywa
Malawi 	Lilongwe
Mali 	Bamako
Maroko 	Rabat
Mauretania 	Nawakszut
Mauritius 	Port Louis
Mozambik 	Maputo
Namibia 	Windhuk
Niger 	Niamey
Nigeria 	Abudża
Republika Południowej Afryki 	Pretoria
Republika Środkowoafrykańska 	Bangi
Republika Zielonego Przylądka 	Praia
Rwanda 	Kigali
Senegal 	Dakar
Seszele 	Victoria
Sierra Leone 	Freetown
Somalia 	Mogadiszu
Suazi 	Mbabane 
Sudan 	Chartum
Sudan Południowy 	Dżuba
Tanzania 	Dodoma
Togo 	Lomé
Tunezja 	Tunis
Uganda 	Kampala
Wybrzeże Kości Słoniowej 	Jamusukro
Wyspy Świętego Tomasza i Książęca 	São Tomé
Zambia 	Lusaka
Zimbabwe 	Harare
Albania 	Tirana
Andora 	Andorra
Austria 	Wiedeń
Belgia 	Bruksela
Białoruś 	Mińsk
Bośnia i Hercegowina 	Sarajewo
Bułgaria 	Sofia
Chorwacja 	Zagrzeb
Czarnogóra 	Podgorica
Czechy 	Praga
Dania 	Kopenhaga
Estonia 	Tallinn
Finlandia 	Helsinki
Francja 	Paryż
Grecja 	Ateny
Hiszpania 	Madryt
Holandia 	Amsterdam
Irlandia 	Dublin
Islandia 	Reykjavík
Kosowo 	Prisztina
Liechtenstein 	Vaduz
Litwa 	Wilno
Luksemburg 	Luksemburg
Łotwa 	Ryga
Macedonia 	Skopje
Malta 	La Valletta
Mołdawia 	Kiszyniów
Monako 	Monako
Niemcy 	Berlin
Norwegia 	Oslo
Polska 	Warszawa
Portugalia 	Lizbona
Rosja 	Moskwa
Rumunia 	Bukareszt
San Marino 	San Marino
Serbia 	Belgrad
Słowacja 	Bratysława
Słowenia 	Lublana
Szwajcaria 	Berno
Szwecja 	Sztokholm
Ukraina 	Kijów
Watykan 	Watykan
Węgry 	Budapeszt
Wielka Brytania 	Londyn
Włochy 	Rzym
